ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-8592835,FONDAZIONE SENATORE PASCALE-ISTITUTO PER LO STUDIO E LA CURA,00911350635,,ADESIONE CONVENZIONE MICROSOFT EA 6 PERIODO 36 MESI (2022-2024),,0.0,EUR,2024-02-09 17:45:05.889T12:00:00Z,microsoft
ocds-hu01ve-8593285,AZIENDA TRASPORTI MILANESI S.P.A.,97230720159,,SERVIZIO MICROSOFT UNIFIED SUPPORT,MICROSOFT S.R.L.,70000.0,EUR,2024-02-09 17:45:19.447T12:00:00Z,microsoft
ocds-hu01ve-8593802,AGENZIA REGIONALE PREVENZIONE AMBIENTE ENERGIA EMILIA ROMAGNA,04290860370,,FORNITURA DEL PACCHETTO DI N^ 50 LICENZE UTENTE MICROSOFT 365 APPS FOR ENTERPRISE PER ARPAE EMILIA-ROMAGNA,,0.0,EUR,2024-02-09 17:45:27.404T12:00:00Z,microsoft
ocds-hu01ve-8594144,CONSIGLIO REGIONALE DELLA PUGLIA,80021210721,,AFFIDAMENTO DEI SERVIZI DI GESTIONE E MANUTENZIONE DI SISTEMI IP E POSTAZIONI DI LAVORO PER LE PUBBLICHE AMMINISTRAZIONI ALLA SOCIETÀ FASTWEB SPA. ADESIONE ACCORDO QUADRO -LOTTO 5 -CIG:8133337205,FASTWEB SPA,1571424.6,EUR,2024-04-15 16:30:06.490T12:00:00Z,fastweb
ocds-hu01ve-8594593,DIREZIONE GENERALE DEL SISTEMA INFORMATIVO - MINISTERO DELLA SALUTE,97618930586,,"N. 4 LICENZE D'USO DEL SOFTWARE MICROSOFT SQL SERVER - SERVIZIO ANNUALE DI MANUTENZIONE, ASSISTENZA E SUPPORTO TECNICO DEL SOFTWARE PIKSEL VCMS 2022",,0.0,EUR,2024-02-09 17:45:31.658T12:00:00Z,microsoft
ocds-hu01ve-8595067,AZIENDA U.L.S.S. N. 2 MARCA TREVIGIANA,03084880263,,FORNITURA DI LICENZE MICROSOFT WINDOWS SERVER DATACENTER 2022 PER LA SERVER FARM E LA INFRASTRUTTURA ICT DI TREVISO (ID 4194),TELECOM ITALIA S.P.A.,180351.36,EUR,2024-02-09 17:45:19.018T12:00:00Z,microsoft
ocds-hu01ve-8595151,ANAS SPA,80208450587,,"SERVIZI DI MANUTENZIONE RICORRENTE DEGLI IMPIANTI ELETTRICI, IDRO/TERMO/SANITARI, RILEVAZIONE INCENDIO, ANTINCENDIO, DI CONDIZIONAMENTO INVERNALE/ESTIVO, ASCENSORI, GRUPPI ELETTROGENI, ANTINTRUSIONE E",TOMMASIN COMM. GINO & FIGLI S.N.C.,161507.37,EUR,2024-02-09 17:43:33.975T12:00:00Z,sap
ocds-hu01ve-8595214,SCUOLA SUPERIORE DELLA MAGISTRATURA,97701980589,,SERVIZI PREMIER MICROSOFT,,0.0,EUR,2024-02-09 17:43:37.059T12:00:00Z,microsoft
ocds-hu01ve-8595550,UNIVERSITA' DEGLI STUDI DEL SANNIO,01114010620,,"AFFIDAMENTO DIRETTO, AI SENSI DELLART. 36, COMMA 2, LETT. A), DEL D. LGS. 50/2016, E SS.MM.II., DI N. 3 COFFEE BREAK E N. 1 LIGHT LUNCH NELLAMBITO DEL CONGRESSO ANNUALE DEI DOTTORANDI DEL SSD ING-IND/",,0.0,EUR,2024-02-09 17:45:41.687T12:00:00Z,engineering
ocds-hu01ve-8596693,ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,,NOLEGGIO A LUNGO TERMINE IN SOSTITUZIONE PARCO MEZZI ACEA P. I. S.P.A. N. 6 MEZZI CON ALLESTIMENTO NORD ENGINEERING,,0.0,EUR,2024-02-09 17:43:59.091T12:00:00Z,engineering
ocds-hu01ve-8598103,INFORMATICA ALTO ADIGE SPA,01468500218,,ADESIONE A CONVENZIONE SERVIZI ICT - LOTTO 2 - SAP S4 FATTURAZIONE ELETTRONICA,GPI S.P.A.|DERGA CONSULTING SPA|NTT DATA ITALIA S.P.A.,66350.0,EUR,2024-02-09 17:43:36.842T12:00:00Z,sap
ocds-hu01ve-8598415,AGENZIA SPAZIALE ITALIANA,97061010589,,ACQUISTO DI LICENZE SOFTWARE MICROSOFT E RISORSA CLOUD MICROSOFT AZURE,,0.0,EUR,2024-02-09 17:42:43.292T12:00:00Z,microsoft
ocds-hu01ve-8598430,AGENZIA SPAZIALE ITALIANA,97061010589,,ACQUISTO SERVIZI MICROSOFT PREMIERE,,0.0,EUR,2024-02-09 17:45:23.592T12:00:00Z,microsoft
