Id Scheda;Nome;Tipologia;Nome Fornitore;Livello di qualificazione/adeguamento;Data di qualificazione;Scadenza qualificazione
SA-6419;Cipta® Web;SaaS;iVis Technologies srl, in sigla iVis srl;2;2025-08-29;2028-08-29
SA-6648;AlfaRate;SaaS;hms consulting;1;2025-08-22;2028-08-22
SA-6636;MasterCom Pro Cloud;SaaS;MasterCom srl;1;2025-08-28;2028-08-28
SA-4160;Legality Whistleblowing;SaaS;Digitalpa Srl;1;2025-09-02;2028-09-02
SA-4163;Accesso Civico PA;SaaS;Digitalpa Srl;1;2025-09-02;2028-09-02
SA-4192;SoSScuole;SaaS;Invisiblefarm;1;2025-09-02;2028-09-02
SA-2389;eNSO;SaaS;ENTAKSI SOLUTIONS SpA;2;2025-08-19;2028-08-19
SA-4053;ePRI;SaaS;ENTAKSI SOLUTIONS SpA;2;2025-08-19;2028-08-19
SA-2388;eCON LUL;SaaS;ENTAKSI SOLUTIONS SpA;2;2025-08-19;2028-08-19
IA-5727;ReeVo Object Storage;IaaS;Reevo S.p.A.;2;2025-04-22;2028-04-22
IA-5731;ReeVo Cloud Backup;IaaS;Reevo S.p.A.;2;2025-04-22;2028-04-22
IA-5728;ReeVo Cloud Virtual Infrastructure;IaaS;Reevo S.p.A.;2;2025-04-22;2028-04-22
PA-5734;ReeVo Cloud K8S;PaaS;Reevo S.p.A.;2;2025-04-22;2028-04-22
SA-6653;Eleweb - Commissioni Elettorali Circondariali;SaaS;Pro Logic Informatica S.r.l.;1;2025-08-21;2028-08-21
SA-6640;Privacy Encoder;SaaS;Opticon Data Solutions Srl;1;2025-08-21;2028-08-21
SA-3973;Adobe Real Time CDP;SaaS;ADOBE SYSTEMS SOFTWARE IRELAND LIMITED;1;2025-08-22;2028-08-22
SA-4118;TaleteWeb;SaaS;EQUIPE SRL;2;2025-08-22;2028-08-22
SA-3795;Adobe Journey Optimizer;SaaS;ADOBE SYSTEMS SOFTWARE IRELAND LIMITED;1;2025-08-22;2028-08-22
IA-6471;Orakom Virtual Private Cloud (VPC);IaaS;Orakom S.r.l.;2;2025-08-22;2028-08-22
SA-3233;One FISCALE;SaaS;WOLTERS KLUWER ITALIA SRL;1;2025-08-22;2028-08-22
SA-3240;One LEGALE;SaaS;WOLTERS KLUWER ITALIA SRL;1;2025-08-22;2028-08-22
SA-3229;Costo del Lavoro;SaaS;WOLTERS KLUWER ITALIA SRL;1;2025-08-22;2028-08-22
SA-3232;La Mia Biblioteca;SaaS;WOLTERS KLUWER ITALIA SRL;1;2025-08-22;2028-08-22
SA-6676;Garsia Sociale;SaaS;Dedalus Italia spa;1;2025-08-25;2028-08-25
SA-6675;WHR - Web Human Resource;SaaS;Dedalus Italia spa;2;2025-08-25;2028-08-25
SA-4363;AlfaBox;SaaS;hms consulting;1;2025-08-22;2028-08-22
SA-4366;AlfaTrial;SaaS;hms consulting;1;2025-08-22;2028-08-22
SA-4284;ComunicaSmart;SaaS;Gestione Servizi SpA;1;2025-08-26;2028-08-26
